,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
75,D'Angelo Russell,1626156,2,3,3,0,3,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Jordan McLaughlin, Naz Reid, Jaden McDaniels",4,1,2,0,1,0.5,2,2021-22,MIN,0.0,0,3
76,Malik Beasley,1627736,2,3,3,0,3,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Jordan McLaughlin, Naz Reid, Jaden McDaniels",4,1,2,0,1,0.5,2,2021-22,MIN,0.0,0,3
77,Jordan McLaughlin,1629162,2,3,3,2,3,1.0,1,0,0,"D'Angelo Russell, Malik Beasley, Jordan McLaughlin, Naz Reid, Jaden McDaniels",4,1,2,0,1,0.5,2,2021-22,MIN,50.0,1,3
78,Naz Reid,1629675,2,3,3,2,3,0.5,1,0,2,"D'Angelo Russell, Malik Beasley, Jordan McLaughlin, Naz Reid, Jaden McDaniels",4,1,2,0,1,0.5,2,2021-22,MIN,50.0,1,3
79,Jaden McDaniels,1630183,2,3,3,0,3,0.0,0,1,0,"D'Angelo Russell, Malik Beasley, Jordan McLaughlin, Naz Reid, Jaden McDaniels",4,1,2,0,1,0.5,2,2021-22,MIN,0.0,1,3
80,D'Angelo Russell,1626156,4,9,8,0,9,0.0,1,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin",12,2,5,1,2,0.6666666666666666,5,2021-22,MIN,0.0,1,7
81,Karl-Anthony Towns,1626157,4,9,8,6,9,0.75,1,2,3,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin",12,2,5,1,2,0.6666666666666666,5,2021-22,MIN,50.0,3,7
82,Taurean Prince,1627752,4,9,8,4,9,1.0,1,0,2,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin",12,2,5,1,2,0.6666666666666666,5,2021-22,MIN,33.333333333333336,1,7
83,Jarred Vanderbilt,1629020,4,9,8,2,9,1.0,1,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin",12,2,5,1,2,0.6666666666666666,5,2021-22,MIN,16.666666666666668,1,7
84,Jordan McLaughlin,1629162,4,9,8,0,9,0.0,1,0,0,"D'Angelo Russell, Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin",12,2,5,1,2,0.6666666666666666,5,2021-22,MIN,0.0,1,7
85,D'Angelo Russell,1626156,3,7,7,3,6,1.5,0,1,0,"D'Angelo Russell, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Patrick Beverley",14,2,3,3,4,1.0,2,2021-22,MIN,32.142857142857146,1,7
86,Jarred Vanderbilt,1629020,3,7,7,3,6,1.5,1,0,2,"D'Angelo Russell, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Patrick Beverley",14,2,3,3,4,1.0,2,2021-22,MIN,32.142857142857146,1,7
